Area,DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH
E02001730,2,62,WBI
E02001713,2,60,WBI
E02001713,1,30,WBI
E02001736,1,41,OAS
E02001719,2,22,WBI
E02001725,1,27,WBI
E02001722,1,67,WBI
E02001708,1,3,WBI
E02001728,2,55,WBI
E02001730,1,1,WBI
E02001722,2,76,WBI
E02001712,1,37,WBI
E02001720,2,22,WBI
E02001723,1,6,WHO
E02001713,1,3,WBI
E02001715,2,27,WBI
E02001721,2,38,WBI
E02001734,1,22,WBI
E02001725,2,70,WBI
E02001731,1,22,WBI
E02001723,1,43,WBI
E02001733,2,74,WBI
E02001731,1,20,WBI
E02001711,1,30,IND
E02001712,2,32,WBI
E02001721,1,7,WBI
E02001710,1,21,WBI
E02001727,2,67,WBI
E02001713,2,22,WBI
E02001730,2,21,WBI
E02001714,2,86,WBI
E02001720,2,21,WBI
E02001724,2,20,WBI
E02001737,2,86,WBI
E02001711,1,10,WBI
E02001729,1,34,CHI
E02001733,1,40,OAS
E02001732,2,1,WBI
E02001726,2,63,WBI
E02001730,2,32,WBI
E02001729,1,63,MIX
E02001736,1,15,WBI
E02001736,2,45,BAN
E02001734,2,60,WHO
E02001726,2,31,WBI
E02001720,1,23,WBI
E02001719,2,53,WBI
E02001729,1,27,WBI
E02001713,1,81,WBI
E02001711,2,75,WBI
E02001728,2,23,WBI
E02001725,2,66,WBI
E02001727,2,19,WBI
E02001715,2,30,WBI
E02001727,2,40,WBI
E02001733,1,43,WBI
E02001722,1,5,WBI
E02001720,2,22,WHO
E02001731,2,23,WBI
E02001730,2,22,WBI
E02001710,2,45,WBI
E02001721,1,41,WBI
E02001709,2,86,WBI
E02001727,1,1,WBI
E02001718,2,50,WBI
E02001708,2,39,WBI
E02001713,1,35,WBI
E02001710,1,68,WBI
E02001715,1,42,IND
E02001730,1,44,WBI
E02001726,2,50,WBI
E02006893,2,75,WBI
E02001723,1,46,WBI
E02001715,1,42,MIX
E02001708,2,24,WBI
E02001722,1,28,WBI
E02001734,2,83,WBI
E02001712,1,64,WHO
E02001715,1,42,WBI
E02001731,1,36,CHI
E02001708,2,13,WBI
E02001711,1,85,WBI
E02001714,1,61,WBI
E02001728,2,1,WBI
E02001728,1,74,WBI
E02001715,2,32,WBI
E02001708,2,20,WBI
E02001724,1,81,WBI
E02001737,1,34,WBI
E02001736,1,48,BAN
E02001733,2,33,WBI
E02001731,1,21,WBI
E02001709,2,83,WBI
E02001737,1,71,WBI
E02001729,2,63,PAK
E02001713,2,18,PAK
E02001732,1,37,WBI
E02001727,1,15,WBI
E02001711,1,45,WBI
E02006893,2,49,WBI
E02001711,2,55,WBI
E02001715,1,48,WBI
E02006893,2,51,WBI
E02001708,1,42,WBI
E02001709,1,83,BAN
E02001736,2,50,WBI
E02001726,2,75,WBI
E02001709,2,45,WBI
E02001733,1,46,WBI
E02001712,2,66,WBI
E02001734,2,77,OTH
E02001708,2,66,WBI
E02001715,1,21,WBI
E02001713,1,40,WBI
E02006893,1,71,WBI
E02001733,1,15,WBI
E02001722,2,71,WBI
E02001724,1,50,WHO
E02001731,1,29,WBI
E02001709,1,37,WBI
E02001725,1,35,WBI
